candidate_id,final_label,rationale
aiid-1361,excluded,"Author scope decision (2026-07-16): physical autonomous vehicles are robotic autonomy, not agentic AI as defined in Sec. 1 (planning plus software tool execution); excluded for scope consistency."
aiid-1438,excluded,"Author scope decision (2026-07-16): physical autonomous delivery vehicle; robotic autonomy is outside the agentic-AI scope of the study."
aiid-595,excluded,"Author scope decision (2026-07-16): AV fleet stall is a shared-resource coupling failure (L2 mechanism acknowledged) but the system class (robotic autonomy) is outside the agentic-AI scope of the study."
web-replit_db_deletion_2025,excluded,"Duplicate of aiid-1152 (same system and date), which both coders included with full report text; this candidate's source page was robots-blocked and headline-only."
arxiv-2607.02514,excluded,"Author scope decision (2026-07-16): controlled benchmark/simulation studies are not documented incidents. Demonstrated exploits against production systems remain admissible; hypothetical attack benchmarks do not."
aiid-1072,excluded,"Author scope decision (2026-07-16): auto-posting chatbot behavior (system-prompt-driven single-completion generation) is not agentic multi-step planning-plus-tool-execution; excluded per the auto-posting-is-not-agentic rule."
aiid-1146,excluded,"Author scope decision (2026-07-16): Grok auto-posting antisemitic replies is single-completion output from a modified system prompt, not autonomous multi-step tool execution; auto-posting is not agentic."
aiid-700,excluded,"Author scope decision (2026-07-16): Meta AI auto-responding in groups is triggered single-completion generation, not agentic multi-step planning-plus-tool-execution; auto-posting is not agentic."
aiid-1200,excluded,"Author scope decision (2026-07-16): Meta AI conversational memory persistence is chatbot output, not autonomous multi-step tool execution; auto-posting/conversational generation is not agentic."
aiid-1158,L1,"Author scope decision (2026-07-16): security exploits of non-multi-step AI systems are in scope. The Amazon Q wiper injection is admissible; coded L1 per coder A (least-privilege tooling on the agent could have bounded the destructive command)."
web-lenovo_lena_xss_2025,L1,"Author scope decision (2026-07-16): security exploits of non-multi-step AI systems are in scope. Lenovo Lena XSS admitted; coded L1 per coder B (a least-privilege/output-sanitization boundary in a single-agent loop would have prevented the cookie theft)."
web-vanna_ai_rce_2024,L1,"Author scope decision (2026-07-16): security exploits of non-multi-step AI systems are in scope. Vanna.AI LLM->exec() RCE admitted; coded L1 per coder B (sandboxing/least-privilege isolation in a single-agent loop would have prevented arbitrary code execution)."
web-freysa_agent_transfer_2024,excluded,"Author scope decision (2026-07-16): insufficient mechanism — the available source is headline-level only, with no mechanistic account of how the forged function-call transfer unfolded; excluded per the insufficient-mechanism rule."
aiid-719,L1,"Author scope decision (2026-07-16): retained as L1 (coder A). Grok's unsupervised trending-summary generation is a single-agent curation failure a least-privilege/circuit-breaker design would have interrupted; the inter-agent framing (coder B, L2) is not required to explain it."
aiid-1556,L2,"Author decision (2026-07-16): coded L2 (over coder A's L1). Two distinct agents — Grok decodes a Morse-encoded prompt injection and relays it to Bankrbot, which executes the ~$200K transfer; the failure required inter-agent interaction, so the L2 mechanism is the earliest layer that would have interrupted it."
web-agent_in_the_middle_a2a_2025,L2,"Author decision (2026-07-16): included as L2 (over coder A's exclude). A demonstrated exploit against the real A2A protocol/SDKs is admissible under the scope rule (demonstrated exploits vs production systems, not hypothetical benchmarks); a rogue agent card manipulating host-agent routing is an inter-agent shared-state failure."
