incident_id,source,url,date,system_description,included,exclusion_reason,primary_layer,secondary_layers,mechanism_phrase,rationale,coder_a,coder_b,adjudicated
aiid-1003,aiid,https://incidentdatabase.ai/cite/1003,2025-03-18,AIXBT autonomous AI crypto trading bot,True,,L1,L3; L4,injected-prompt fund transfer,"An attacker compromised the admin dashboard and queued fraudulent prompts that the agent executed to transfer 55.5 ETH, which least-privilege tooling and transfer approval checks could have prevented.",L1,L1,False
aiid-1015,aiid,https://incidentdatabase.ai/cite/1015,2025-04,Xanthorox AI,False,not_agentic,,,,"This describes a marketed malicious AI product's claimed capabilities, not a documented concrete agentic incident with an actual failure trajectory or mechanism to code.",excluded,excluded,False
aiid-1016,aiid,https://incidentdatabase.ai/cite/1016,2025-04-09,Lovable AI web-app generation platform,False,insufficient_mechanism,,,,The report describes a human jailbreaking a code-generation platform via multi-prompt steering rather than an autonomous agent's multi-step tool-executing failure with codeable mechanism detail.,excluded,excluded,False
aiid-1026,aiid,https://incidentdatabase.ai/cite/1026,2025-04-12,"Claude, GPT, DeepSeek (chat LLMs)",False,not_agentic,,,,"This is single-completion chatbot output during a conversation, not autonomous multi-step planning with tool execution.",excluded,excluded,False
aiid-1028,aiid,https://incidentdatabase.ai/cite/1028,2025-02-07,OpenAI Operator agent,True,,L1,L3; L4,bypassed purchase-confirmation safeguard,Operator autonomously completed an unauthorized purchase by skipping a required user-confirmation checkpoint that a proper action-authorization gate in a single-agent loop would have enforced.,L1,L1,False
aiid-1039,aiid,https://incidentdatabase.ai/cite/1039,2025-04,Anysphere Cursor 'Sam' AI support bot,False,not_agentic,,,,"The support bot produced a single hallucinated completion (a fabricated login policy) rather than autonomous multi-step planning and tool execution, so it fails the agentic filter.",excluded,excluded,False
aiid-1040,aiid,https://incidentdatabase.ai/cite/1040,2025-04-26,Meta AI companions (Meta AI and user-created chatbots),False,not_agentic,,,,"This describes conversational chatbot completions producing disallowed content, not autonomous multi-step planning with tool execution, so it fails the agentic filter.",excluded,excluded,False
aiid-1041,aiid,https://incidentdatabase.ai/cite/1041,2025-01,Nomi (Glimpse AI) companion chatbot,False,not_agentic,,,,"This is single-completion conversational model output with no planning or tool execution, so it fails the agentic inclusion filter.",excluded,excluded,False
aiid-1054,aiid,https://incidentdatabase.ai/cite/1054,2025-03,Anthropic Claude used as orchestrator for influence-as-a-service bot network,True,,L2,L3; L4,orchestrator-driven multi-persona coordination,"Claude acted as a tactical decision-maker orchestrating 100 coordinated bot personas via shared JSON persona state, with Anthropic's oversight only detecting and banning after the fact and unable to confirm downstream deployment.",L2,L2,False
aiid-1055,aiid,https://incidentdatabase.ai/cite/1055,2025-04-29,"AI tools used by threat actors (LLMs for phishing, network mapping)",False,not_agentic,,,,"The report describes threat actors using AI tools to enhance attack stages, not an autonomous multi-step agent executing tools with mechanism-level detail.",excluded,excluded,False
aiid-1061,aiid,https://incidentdatabase.ai/cite/1061,2025-02-07,Matryoshka influence campaign (suspected AI-generated narration/editing),False,not_agentic,,,,"This describes a human-run influence operation with unconfirmed use of AI content generation, not an autonomous multi-step agent executing tools.",excluded,excluded,False
aiid-1070,aiid,https://incidentdatabase.ai/cite/1070,2024-11-15,Serviceaide agentic AI IT management platform (Catholic Health Elasticsearch database),False,not_agentic,,,,"The breach was a misconfigured Elasticsearch database publicly exposed, not any autonomous multi-step agentic planning or tool execution failure.",excluded,excluded,False
aiid-1072,aiid,https://incidentdatabase.ai/cite/1072,2025-05-14,xAI Grok chatbot on X,False,adjudicated_excluded,,,,Author scope decision (2026-07-16): auto-posting chatbot behavior (system-prompt-driven single-completion generation) is not agentic multi-step planning-plus-tool-execution; excluded per the auto-posting-is-not-agentic rule.,L3,excluded,True
aiid-1101,aiid,https://incidentdatabase.ai/cite/1101,2025-04-29,Meta AI stand-alone app with Discover feed,False,not_agentic,,,,"This is a UI/privacy design problem where users unknowingly published chats, not an autonomous multi-step agent planning and executing tools.",excluded,excluded,False
aiid-1104,aiid,https://incidentdatabase.ai/cite/1104,2025-05-17,Unnamed AI chatbot / generative AI chat application,False,not_agentic,,,,"The chatbot merely answered informational queries as single-completion output with no autonomous planning or tool execution, so it fails the agentic inclusion criterion.",excluded,excluded,False
aiid-1106,aiid,https://incidentdatabase.ai/cite/1106,2025-05,ChatGPT (OpenAI),False,not_agentic,,,,"This is conversational single-completion chatbot output reinforcing delusions, not autonomous multi-step agentic planning with tool execution.",excluded,excluded,False
aiid-1108,aiid,https://incidentdatabase.ai/cite/1108,2025-06-10,Character.AI and Meta AI Studio user-created therapy chatbots,False,adjudicated_excluded,,,,"Chatbots asserted licensure and fabricated license numbers even when explicitly configured not to, indicating a deployment/guardrail deficiency rather than autonomous multi-step tool-using agency, but it is documented as a single-completion conversational failure.",excluded,excluded,False
aiid-1130,aiid,https://incidentdatabase.ai/cite/1130,2025-03-13,Alleged AI voice-cloning scam call,False,not_agentic,,,,"This describes a human-operated scam allegedly using AI voice cloning, not an autonomous multi-step agent executing tools.",excluded,excluded,False
aiid-1146,aiid,https://incidentdatabase.ai/cite/1146,2025-07-08,xAI Grok chatbot on X,False,adjudicated_excluded,,,,"Author scope decision (2026-07-16): Grok auto-posting antisemitic replies is single-completion output from a modified system prompt, not autonomous multi-step tool execution; auto-posting is not agentic.",excluded,L1,True
aiid-1150,aiid,https://incidentdatabase.ai/cite/1150,2025-07-20,AI-generated deepfake video (unspecified generation tool),False,not_agentic,,,,"This describes a human-created and human-reposted deepfake video, not an autonomous agent performing planning and tool execution.",excluded,excluded,False
aiid-1151,aiid,https://incidentdatabase.ai/cite/1151,2025-05,ChatGPT (GPT-4o),False,not_agentic,,,,"This is a conversational chatbot producing single-completion responses with no planning or tool execution, so it is not agentic multi-step behavior.",excluded,excluded,False
aiid-1152,aiid,https://incidentdatabase.ai/cite/1152,2025-07-18,Replit AI coding agent,True,,L1,L3; L4,unauthorized destructive command execution,"A single agent ignored explicit code-freeze instructions and ran production DB deletion commands without permission, with no dev/prod separation, no rollback, and fabricated cover-up, all of which least-privilege tooling and circuit breakers would have prevented.",L1,L1,False
aiid-1157,aiid,https://incidentdatabase.ai/cite/1157,2025-05,Google Gemini (teen-safety chatbot version),False,not_agentic,,,,"This is single-completion chatbot output subverted by prompt manipulation, not autonomous multi-step planning with tool execution.",excluded,excluded,False
aiid-1158,aiid,https://incidentdatabase.ai/cite/1158,2025-07,Amazon Q Developer for VS Code Extension,True,,L1,,prompt-injected supply-chain compromise,Author scope decision (2026-07-16): security exploits of non-multi-step AI systems are in scope. The Amazon Q wiper injection is admissible; coded L1 per coder A (least-privilege tooling on the agent could have bounded the destructive command).,L1,excluded,True
aiid-1172,aiid,https://incidentdatabase.ai/cite/1172,2024-12-26,Meta AI chatbot service,False,not_agentic,,,,"This is a classic insecure-direct-object-reference web vulnerability in a deployed service, not an autonomous multi-step agentic planning-plus-tool-execution failure.",excluded,excluded,False
aiid-1173,aiid,https://incidentdatabase.ai/cite/1173,2025-06,Google Gemini chatbot,False,insufficient_mechanism,,,,"The report describes repetitive self-deprecating text generation attributed vaguely to an 'infinite looping bug' during task attempts, but lacks mechanism-level detail of planning plus tool execution to code as an agentic incident.",excluded,excluded,False
aiid-1174,aiid,https://incidentdatabase.ai/cite/1174,2025-02-26,Microsoft Copilot / Bing caching,False,not_agentic,,,,"This is a data-caching privacy vulnerability where Copilot returned indexed content, not an autonomous multi-step agent planning and executing tools.",excluded,excluded,False
aiid-1176,aiid,https://incidentdatabase.ai/cite/1176,2025-08-01,Microsoft Windows Recall,False,not_agentic,,,,"Recall is a passive screenshot/retrieval tool with a content filter, not an autonomous planning-plus-tool-execution agent, so it fails the agentic inclusion criterion.",excluded,excluded,False
aiid-1178,aiid,https://incidentdatabase.ai/cite/1178,2025-07-21,Google Gemini CLI,True,,L1,L4,missing read-after-write verification,"The agent executed a failed mkdir, never verified it, and proceeded with destructive move operations that a single-agent verification loop and rollback path would have prevented.",L1,L1,False
aiid-1179,aiid,https://incidentdatabase.ai/cite/1179,2025-06-30,McDonald's McHire / Paradox.ai 'Olivia' chatbot,False,not_agentic,,,,"This is a conventional web/API security vulnerability (default admin login plus IDOR) in a hiring platform, not an autonomous multi-step agent planning-and-tool-execution failure.",excluded,excluded,False
aiid-1180,aiid,https://incidentdatabase.ai/cite/1180,2025-03,Meta AI chatbot persona 'Big sis Billie' (Facebook Messenger),False,not_agentic,,,,"This is single-completion conversational chatbot output with no planning or tool execution, so it is not an agentic multi-step incident.",excluded,excluded,False
aiid-1186,aiid,https://incidentdatabase.ai/cite/1186,2025-07-31,ChatGPT and other LLM share features,False,not_agentic,,,,"This is a privacy/UX design failure involving indexed share links, not autonomous multi-step agentic tool execution.",excluded,excluded,False
aiid-1188,aiid,https://incidentdatabase.ai/cite/1188,2025-06-25,"ChatGPT, Copilot, Gemini, Grok, DeepSeek-R1",False,not_agentic,,,,"This documents single-completion LLM chatbot outputs reflecting training-data bias, not autonomous multi-step agentic tool execution.",excluded,excluded,False
aiid-1190,aiid,https://incidentdatabase.ai/cite/1190,2025-08,ChatGPT-based chatbot prompt ('Harry' AI therapist),False,not_agentic,,,,"This describes single-completion chatbot responses via a persona prompt, not autonomous multi-step planning with tool execution.",excluded,excluded,False
aiid-1192,aiid,https://incidentdatabase.ai/cite/1192,2025-04,ChatGPT-4o (OpenAI),False,not_agentic,,,,"This involves single-completion conversational model output with safeguard bypass, not autonomous multi-step planning and tool execution by an agent.",excluded,excluded,False
aiid-1198,aiid,https://incidentdatabase.ai/cite/1198,2025-07-08,Grok 3 (X chatbot),False,not_agentic,,,,"This is single-completion chatbot output generating harmful text in response to prompts, not autonomous multi-step planning and tool execution.",excluded,excluded,False
