tool_id,tool,category,layer,verdict,evidence,evidence_url
langsmith,LangSmith,observability_eval,L1,Partial,"Usage limits allow configuring monthly total traces and extended retention traces limits with rate limits returning HTTP 429; but these are billing/throughput caps, not agent budget caps or closed-loop guardrails.",https://docs.langchain.com/langsmith/usage-and-billing
langsmith,LangSmith,observability_eval,L2,None,,
langsmith,LangSmith,observability_eval,L3,Partial,"Reviewers can edit runs to create corrected examples and write assertions; annotation queues provide human review workflows, but these govern evaluation data rather than live agent action approval or kill switches.",https://docs.langchain.com/langsmith/annotation-queues
langsmith,LangSmith,observability_eval,L4,Full,"Online evaluations track quality continuously on live traffic with anomaly detection; evaluations can run via rules and standard testing tools like pytest/Vitest, with regression tests asserting new versions must outperform baseline metrics.",https://docs.langchain.com/langsmith/evaluation-concepts
langfuse,Langfuse,observability_eval,L1,None,,
langfuse,Langfuse,observability_eval,L2,None,,
langfuse,Langfuse,observability_eval,L3,Partial,"Annotation Queues let users review and rate traces manually and leave notes, but this is evaluation labeling rather than oversight of live agent actions; no approval gate or kill switch described.",https://langfuse.com/docs/scores/annotation
langfuse,Langfuse,observability_eval,L4,Full,"Experiments support comparing prompt/model/code changes with CI/CD integration for blocking deployments on regressions, plus online production scoring and semantic cost/usage observability.",https://langfuse.com/docs/evaluation/overview
arize_phoenix,Arize Phoenix,observability_eval,L1,Partial,"Evaluators run with ""automatic rate limiting, error management, and dynamic concurrency handling"" — adjacent to bounded/budget control but for evals, not agent guardrails.",https://arize.com/docs/phoenix/evaluation/llm-evals
arize_phoenix,Arize Phoenix,observability_eval,L2,None,,
arize_phoenix,Arize Phoenix,observability_eval,L3,None,,
arize_phoenix,Arize Phoenix,observability_eval,L4,Full,"Server-side evaluators attach to datasets and ""Phoenix scores experiment results automatically""; experiments determine ""whether an update is an improvement or a regression"" — evals as repeatable test cases in the dev/CI loop.",https://arize.com/docs/phoenix/datasets-and-experiments/overview-datasets
braintrust,Braintrust,observability_eval,L1,None,,
braintrust,Braintrust,observability_eval,L2,None,,
braintrust,Braintrust,observability_eval,L3,None,,
braintrust,Braintrust,observability_eval,L4,Full,"GitHub Actions eval-action runs evaluations on every pull request; --first N smoke runs on PRs and full runs on merges to catch regressions before production; online scoring of live traffic and semantic dashboards (latency, token usage, costs, scores).",https://www.braintrust.dev/docs/guides/evals/write
datadog_llm_obs,Datadog LLM Observability,observability_eval,L1,Full,"AI Guard is designed to inspect, block, and govern AI behavior in real time, operating inline with the app/agent with Tool Protection securing tool/action execution against the agentic lethal trifecta.",https://docs.datadoghq.com/security/ai_guard/
datadog_llm_obs,Datadog LLM Observability,observability_eval,L2,None,,
datadog_llm_obs,Datadog LLM Observability,observability_eval,L3,Partial,"AI Guard is designed to inspect, block, and govern AI behavior in real time inline with the execution path, blocking consequential actions; but no configurable approval gate/kill-switch/tiered autonomy is detailed.",https://docs.datadoghq.com/security/ai_guard/
datadog_llm_obs,Datadog LLM Observability,observability_eval,L4,Full,"Evaluations (LLM-as-a-judge, managed, external via API) configured with Write permissions plus Export API; semantic observability via end-to-end tracing and out-of-the-box cost/latency golden-signal dashboards.",https://docs.datadoghq.com/llm_observability/evaluations/
honeyhive,HoneyHive,observability_eval,L1,None,,
honeyhive,HoneyHive,observability_eval,L2,None,,
honeyhive,HoneyHive,observability_eval,L3,Partial,"Distributed tracing captures every step with trace enrichment/metadata, providing audit trail-like provenance; human annotation via Review Mode/Annotation Queues is evaluation labeling, not live action oversight.",https://docs.honeyhive.ai/tracing/introduction
