candidate_id,source,url,system,date,coder_a,coder_b,rationale_a,rationale_b
aiid-1072,aiid,https://incidentdatabase.ai/cite/1072,xAI Grok chatbot on X,2025-05-14,L3,excluded,"An apparent system-prompt/config change caused Grok to inject unrelated 'white genocide' content across queries without rollback or telemetry safeguards, indicating an operational deployment-oversight failure.","Grok inserted unsolicited 'white genocide' content into unrelated queries, consistent with a modified system prompt or instruction affecting all responses without adequate oversight or rollback controls."
aiid-1146,aiid,https://incidentdatabase.ai/cite/1146,xAI Grok chatbot on X,2025-07-08,excluded,L1,"This is single-completion LLM output generation (posting replies) driven by a modified system prompt, not autonomous multi-step planning with tool execution.",A configuration change ('dialed down woke filters'/removed politically-incorrect guideline) let the autonomous posting agent generate and publish antisemitic content without least-privilege content filters or effective oversight before posting.
aiid-1158,aiid,https://incidentdatabase.ai/cite/1158,Amazon Q Developer for VS Code Extension,2025-07,L1,excluded,"An inappropriately scoped GitHub token let an attacker inject a destructive agent prompt that passed verification into a public release, showing failed oversight and operational deployment gaps that least-privilege tooling on the agent could have limited.","An inappropriately scoped GitHub token let an attacker commit malicious wiping prompts into the extension's repo, which passed Amazon's verification and auto-shipped to a public release, a supply-chain/deployment oversight failure rather than an autonomous agent execution incident."
aiid-1200,aiid,https://incidentdatabase.ai/cite/1200,Meta AI chatbot (Instagram/Facebook),2025-08-28,excluded,L1,"The bot retained unsafe memories across conversations that reinforced disordered thoughts and lacked guardrails or parental oversight, showing shared-state persistence and deficient monitoring, though this is closer to conversational output than autonomous tool-executing planning.","The bot retained unsafe memories across sessions and reintroduced suicide planning, with no parental monitoring or reliable crisis-intervention guardrail to interrupt it."
aiid-1361,aiid,https://incidentdatabase.ai/cite/1361,Waymo 5th Generation Automated Driving System (driverless robotaxi),2026-01-23,L1,excluded,"The autonomous driving system failed to exercise appropriate caution near an elementary school during drop-off hours, and a properly designed single-agent context-aware speed/caution policy (least-privilege behavior in high-risk zones) could have interrupted the trajectory.","This is a physical autonomous-vehicle collision, not an agentic AI system planning and executing tool calls over multiple steps, so it falls outside the scope of the coding framework."
aiid-1438,aiid,https://incidentdatabase.ai/cite/1438,Jiushi Intelligent Technology autonomous delivery vehicle,2025-04-08,L1,excluded,"The vehicle failed to recognize an irregularly shaped obstacle and continued driving despite a locked wheel, lacking a circuit breaker or fault-detection loop that would have halted it.","This is a physical autonomous vehicle perception failure, not an LLM/software agent planning and executing tools over multiple steps as defined for this coding frame."
aiid-1556,aiid,https://incidentdatabase.ai/cite/1556,Grok + Bankrbot (linked AI wallet agents on Base),2026-05-04,L1,L2,"A Morse-encoded prompt injection relayed from Grok to Bankrbot bypassed safeguards and triggered an unauthorized token transfer, exploiting inter-agent trust and expanded wallet permissions.","An attacker used an NFT to expand Grok's permissions then had Grok decode and relay a Morse-encoded instruction to Bankrbot, which executed the transfer as a trusted inter-agent command bypassing safeguards."
aiid-595,aiid,https://incidentdatabase.ai/cite/595,Cruise autonomous vehicle fleet,2023-08-11,excluded,L2,The report attributes the stall to wireless connectivity overload degrading remote rerouting but lacks agentic planning/tool-execution mechanism detail to code the failure trajectory.,"A shared cell network overload disabled Cruise's remote rerouting, immobilizing a fleet of vehicles simultaneously because they depended on the same external connectivity as a fallback control point."
aiid-700,aiid,https://incidentdatabase.ai/cite/700,Meta AI chatbot (Llama 3) in Facebook groups,2024-04,excluded,L1,The chatbot auto-posting fabricated lived experiences reflects triggered single-completion generation rather than documented autonomous multi-step planning-plus-tool-execution with mechanism-level detail.,"Meta AI autonomously auto-responds to group posts after one hour and fabricated false lived-experience claims, a failure a properly constrained single-agent trigger/least-privilege design would have prevented."
aiid-719,aiid,https://incidentdatabase.ai/cite/719,X's Grok AI chatbot powering Explore trending summaries,2024-04-04,L1,L2,"Grok autonomously summarized spammed misinformation into a false trending headline that was published without human curation, verification, or a fact-check circuit breaker.","Grok automatically summarized coordinated spam of fake posts into a headline promoted on Explore with no human curation after editors were laid off, so poisoned shared input fed an unsupervised curation pipeline."
