item_id,study,source,title,url,accessed_date,license_note
dataset-aiid-snapshot,study1,aiid,"AI Incident Database weekly snapshot (2026-07-13, backup-20260713110347.tar.bz2; direct download URL in data/raw/aiid/manifest.json)",https://incidentdatabase.ai/research/snapshots/,2026-07-15,Public research snapshot; see incidentdatabase.ai/terms-of-use
dataset-mit-risk-repository,study1,mit_risk_repo,MIT AI Risk Repository (public spreadsheet release; xlsx export URL in data/raw/mit_risk_repo/manifest.json),https://airisk.mit.edu/risks,2026-07-15,CC BY 4.0 (stated at airisk.mit.edu)
study2-agentops-L1,study2,tool_docs,"AgentOps — L1 Partial: The @tool decorator supports cost tracking and a @guardrail decorator is listed among available decorators, but without ",https://docs.agentops.ai/v2/concepts/decorators,,vendor/project documentation
study2-agentops-L3,study2,tool_docs,"AgentOps — L3 Partial: Sessions are recorded with execution times, LLM calls, events and timing breakdowns providing an audit-trail-like execut",https://docs.agentops.ai/v2/introduction,,vendor/project documentation
study2-agentops-L4,study2,tool_docs,"AgentOps — L4 Partial: Session recording captures execution times, LLM calls, events, errors and timing breakdowns visualized on a waterfall ti",https://docs.agentops.ai/v2/introduction,,vendor/project documentation
study2-arize_phoenix-L1,study2,tool_docs,"Arize Phoenix — L1 Partial: Evaluators run with ""automatic rate limiting, error management, and dynamic concurrency handling"" — adjacent to bounded/",https://arize.com/docs/phoenix/evaluation/llm-evals,,vendor/project documentation
study2-arize_phoenix-L3,study2,tool_docs,"Arize Phoenix — L3 Partial: Annotations allow assigning a label/score to a span for human review, and traces capture provenance of operations via Op",https://arize.com/docs/phoenix/tracing/llm-traces/how-to-annotate-traces,,vendor/project documentation
study2-arize_phoenix-L4,study2,tool_docs,"Arize Phoenix — L4 Full: Server-side evaluators attach to datasets and ""Phoenix scores experiment results automatically""; experiments determine """,https://arize.com/docs/phoenix/datasets-and-experiments/overview-datasets,,vendor/project documentation
study2-autogen-L1,study2,tool_docs,"Microsoft AutoGen — L1 Full: Termination conditions include TokenUsageTermination (stops when token budget hit), MaxMessageTermination (iteration lim",https://microsoft.github.io/autogen/stable/user-guide/agentchat-user-guide/tutorial/termination.html,,vendor/project documentation
study2-autogen-L3,study2,tool_docs,"Microsoft AutoGen — L3 Full: UserProxyAgent provides human approval during runs (approve/disapprove with button click), ExternalTermination allows ex",https://microsoft.github.io/autogen/stable/user-guide/agentchat-user-guide/tutorial/human-in-the-loop.html,,vendor/project documentation
study2-autogen-L4,study2,tool_docs,"Microsoft AutoGen — L4 Partial: Native OpenTelemetry support collects telemetry with create_agent, invoke_agent, and execute_tool spans, giving traced o",https://microsoft.github.io/autogen/stable/user-guide/core-user-guide/framework/telemetry.html,,vendor/project documentation
study2-azure_ai_foundry_agents-L1,study2,tool_docs,"Azure AI Foundry Agent Service — L1 Full: Guardrails define intervention points (user input, tool call, tool response, output) with 'Annotate and block' action fo",https://learn.microsoft.com/en-us/azure/ai-foundry/guardrails/guardrails-overview,,vendor/project documentation
study2-azure_ai_foundry_agents-L2,study2,tool_docs,"Azure AI Foundry Agent Service — L2 Partial: Entra Agent Registry inventories all agent identities across the tenant enabling blueprint-based governance, but no inte",https://learn.microsoft.com/en-us/azure/ai-foundry/agents/concepts/agent-identity,,vendor/project documentation
study2-azure_ai_foundry_agents-L3,study2,tool_docs,Azure AI Foundry Agent Service — L3 Full: Guardrails block risky content at tool-call/output intervention points; blueprint governance can disable or revoke permi,https://learn.microsoft.com/en-us/azure/ai-foundry/agents/concepts/agent-identity,,vendor/project documentation
study2-azure_ai_foundry_agents-L4,study2,tool_docs,"Azure AI Foundry Agent Service — L4 Full: Build-test-deploy-monitor lifecycle with evaluations to catch regressions, per-agent Entra workload identity, versioning",https://learn.microsoft.com/en-us/azure/ai-foundry/agents/overview,,vendor/project documentation
study2-braintrust-L3,study2,tool_docs,"Braintrust — L3 Partial: Human review workflow with configurable review scores, assign/track reviews, and converting reviewed logs into datasets;",https://www.braintrust.dev/docs/guides/human-review,,vendor/project documentation
study2-braintrust-L4,study2,tool_docs,Braintrust — L4 Full: GitHub Actions eval-action runs evaluations on every pull request; --first N smoke runs on PRs and full runs on merges t,https://www.braintrust.dev/docs/guides/evals/write,,vendor/project documentation
study2-crewai-L1,study2,tool_docs,"CrewAI — L1 Full: Function-based and LLM-based guardrails validate task outputs, with `guardrail_max_retries` (default 3) controlling retr",https://docs.crewai.com/en/introduction,,vendor/project documentation
study2-crewai-L2,study2,tool_docs,"CrewAI — L2 Partial: Crews share a unified memory system with source tracking, provenance tags, access-controlled private records, and consol",https://docs.crewai.com/en/concepts/memory,,vendor/project documentation
study2-crewai-L3,study2,tool_docs,CrewAI — L3 Full: `human_input=True` prompts users for verification/approval before agents finalize output; `@human_feedback` decorator pa,https://docs.crewai.com/en/learn/human-input-on-execution,,vendor/project documentation
study2-crewai-L4,study2,tool_docs,"CrewAI — L4 Partial: Observability guidance recommends instrumenting code, configuring dashboards, establishing alerts, tracking token usage/",https://docs.crewai.com/en/introduction,,vendor/project documentation
study2-datadog_llm_obs-L1,study2,tool_docs,"Datadog LLM Observability — L1 Full: AI Guard is designed to inspect, block, and govern AI behavior in real time, operating inline with the app/agent with To",https://docs.datadoghq.com/security/ai_guard/,,vendor/project documentation
study2-datadog_llm_obs-L2,study2,tool_docs,Datadog LLM Observability — L2 Partial: Patterns performs 'automated hierarchical topic clustering of production traffic' surfacing outlier topics with high err,https://docs.datadoghq.com/llm_observability/monitoring/patterns,,vendor/project documentation
study2-datadog_llm_obs-L3,study2,tool_docs,"Datadog LLM Observability — L3 Partial: AI Guard is designed to inspect, block, and govern AI behavior in real time inline with the execution path, blocking con",https://docs.datadoghq.com/security/ai_guard/,,vendor/project documentation
study2-datadog_llm_obs-L4,study2,tool_docs,"Datadog LLM Observability — L4 Full: Evaluations (LLM-as-a-judge, managed, external via API) configured with Write permissions plus Export API; semantic obse",https://docs.datadoghq.com/llm_observability/evaluations/,,vendor/project documentation
study2-fiddler-L1,study2,tool_docs,"Fiddler AI — L1 Partial: Guardrails 'actively moderates and mitigates harmful content in both prompts and responses' via real-time moderation, an",https://docs.fiddler.ai/getting-started/guardrails,,vendor/project documentation
study2-fiddler-L2,study2,tool_docs,Fiddler AI — L2 Partial: Captures 'agent handoffs—how often agents delegate to other agents' and 'error propagation: how failures cascade through,https://docs.fiddler.ai/getting-started/agentic-monitoring,,vendor/project documentation
study2-fiddler-L3,study2,tool_docs,"Fiddler AI — L3 Partial: Alerting with warning/critical thresholds, notification channels, and 'alert history and audit logs' provides monitoring",https://docs.fiddler.ai/observability/monitoring,,vendor/project documentation
study2-fiddler-L4,study2,tool_docs,Fiddler AI — L4 Full: Experiments support regression testing to 'protect against quality degradation as you develop' through standard test sui,https://docs.fiddler.ai/getting-started/experiments,,vendor/project documentation
study2-guardrails_ai-L1,study2,tool_docs,"Guardrails AI — L1 Partial: Input/Output Guards intercept LLM inputs/outputs to detect, quantify and mitigate risks, with on_fail actions (exception",https://www.guardrailsai.com/docs/concepts/validators,,vendor/project documentation
study2-guardrails_ai-L4,study2,tool_docs,"Guardrails AI — L4 Partial: Guards are defined as policy in a config.py file and executed via a client/server API, resembling policy-as-code gating,",https://www.guardrailsai.com/docs/concepts/deploying,,vendor/project documentation
study2-honeyhive-L3,study2,tool_docs,"HoneyHive — L3 Partial: Distributed tracing captures every step with trace enrichment/metadata, providing audit trail-like provenance; human ann",https://docs.honeyhive.ai/tracing/introduction,,vendor/project documentation
study2-honeyhive-L4,study2,tool_docs,HoneyHive — L4 Full: GitHub integration to 'automatically run experiments on code changes and set performance thresholds' and 'Trigger automa,https://docs.honeyhive.ai/evaluation/introduction,,vendor/project documentation
